LOCATION,WIDTH,DEPTH,HEIGHT,X,Y,Z,AISLE,CENTERAXIS,AISLESIDE,BAY,WAREHOUSE,AREA,LEVEL
A10-100-R-2100-1824-0,48,48,82,2100,1824,0,A10,X,R,100,WARREN,A,1
A10-100-R-2100-1824-84,48,48,30,2100,1824,84,A10,X,R,100,WARREN,A,2
A10-101-L-2100-1836-0,48,48,82,2100,1836,0,A10,X,L,101,WARREN,A,1
A10-101-L-2100-1836-84,48,48,30,2100,1836,84,A10,X,L,101,WARREN,A,2
A10-104-R-2100-1872-0,48,48,82,2100,1872,0,A10,X,R,104,WARREN,A,1
A10-104-R-2100-1872-84,48,48,30,2100,1872,84,A10,X,R,104,WARREN,A,2
A10-105-L-2100-1896-0,48,48,82,2100,1896,0,A10,X,L,105,WARREN,A,1
A10-105-L-2100-1896-84,48,48,30,2100,1896,84,A10,X,L,105,WARREN,A,2
A10-108-R-2100-1932-0,48,48,82,2100,1932,0,A10,X,R,108,WARREN,A,1
A10-108-R-2100-1932-84,48,48,30,2100,1932,84,A10,X,R,108,WARREN,A,2
A10-109-L-2100-1956-0,48,48,82,2100,1956,0,A10,X,L,109,WARREN,A,1
A10-109-L-2100-1956-84,48,48,30,2100,1956,84,A10,X,L,109,WARREN,A,2
A10-112-R-2100-1992-0,48,48,82,2100,1992,0,A10,X,R,112,WARREN,A,1
A10-112-R-2100-1992-84,48,48,30,2100,1992,84,A10,X,R,112,WARREN,A,2
A10-113-L-2100-2004-0,48,48,82,2100,2004,0,A10,X,L,113,WARREN,A,1
A10-113-L-2100-2004-84,48,48,30,2100,2004,84,A10,X,L,113,WARREN,A,2
A10-117-R-2100-2052-0,48,48,82,2100,2052,0,A10,X,R,117,WARREN,A,1
A10-117-R-2100-2052-84,48,48,30,2100,2052,84,A10,X,R,117,WARREN,A,2
A10-118-L-2100-2064-0,48,48,82,2100,2064,0,A10,X,L,118,WARREN,A,1
A10-118-L-2100-2064-84,48,48,30,2100,2064,84,A10,X,L,118,WARREN,A,2
A10-121-R-2100-2100-0,48,48,82,2100,2100,0,A10,X,R,121,WARREN,A,1
A10-121-R-2100-2100-84,48,48,30,2100,2100,84,A10,X,R,121,WARREN,A,2
A10-122-L-2100-2124-0,48,48,82,2100,2124,0,A10,X,L,122,WARREN,A,1
A10-122-L-2100-2124-84,48,48,30,2100,2124,84,A10,X,L,122,WARREN,A,2
A10-125-R-2100-2160-0,48,48,82,2100,2160,0,A10,X,R,125,WARREN,A,1
A10-125-R-2100-2160-84,48,48,30,2100,2160,84,A10,X,R,125,WARREN,A,2
A10-126-L-2100-2184-0,48,48,82,2100,2184,0,A10,X,L,126,WARREN,A,1
A10-126-L-2100-2184-84,48,48,30,2100,2184,84,A10,X,L,126,WARREN,A,2
A10-129-R-2100-2220-0,48,48,82,2100,2220,0,A10,X,R,129,WARREN,A,1
A10-129-R-2100-2220-84,48,48,30,2100,2220,84,A10,X,R,129,WARREN,A,2
A10-12-L-2100-588-0,48,48,82,2100,588,0,A10,X,L,12,WARREN,A,1
A10-12-L-2100-588-84,48,48,30,2100,588,84,A10,X,L,12,WARREN,A,2
A10-130-L-2100-2232-0,48,48,82,2100,2232,0,A10,X,L,130,WARREN,A,1
