LOCATION,\sITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED,LINK_
A10-100-R-2052-1914-0,835099,AMERICAN YELLOW 120CT,4,5#,20,13.6,43.14,0,green,http://yourURL?LOCATION=
A10-100-R-2052-1914-84,645709,TRAY-FOOD RED PLAID 1#,1000,1#,12.5,30.2,15.73,1,red,http://yourURL?LOCATION=
A10-101-L-2232-1926-0,425186,LEMONADE ICE TEA HALF/HALF,8,59 OZ,29.5,41.4,12.88,0,green,http://yourURL?LOCATION=
A10-101-L-2232-1926-84,621606,MUSTARD YELLOW 104 OZ JUG,6,104 OZ,42,6.2,23.07,2,red,http://yourURL?LOCATION=
A10-104-R-2052-1962-0,606600,CRACKER OYSTER INDIV PACK,150,.5 OZ,3,42.6,13.31,2,red,http://yourURL?LOCATION=
A10-104-R-2052-1962-84,171002,SALAMI HARD,6,6.5#,39,445,3.24,0,green,http://yourURL?LOCATION=
A10-105-L-2232-1986-0,432496,PEANUT CLUSTER MAPLE CREAM,1,23#,23,9.6,55.7,0,green,http://yourURL?LOCATION=
A10-105-L-2232-1986-84,417009,GRAPEFRUIT JUICE PURE SQUEEZE,6,59 OZ,25.65,27.6,19.61,0,green,http://yourURL?LOCATION=
A10-108-R-2052-2022-0,370011,COTTAGE CHEESE SMALL CURD,12,8 OZ,6,42.6,10.6718,0,green,http://yourURL?LOCATION=
A10-108-R-2052-2022-84,624085,POTATO SALAD SINGLE SERVE CUP,6,6 OZ,4.5,689.8,5.16,0,green,http://yourURL?LOCATION=
A10-109-L-2232-2046-0,514503,T-SACK-THANK YOU HI-D,2000,12X7X21,28.5,27,33.2,0,green,http://yourURL?LOCATION=
A10-109-L-2232-2046-84,189700,CREAM CHEESE PLAIN,10,3#,30,115.2,1.8995,0,green,http://yourURL?LOCATION=
A10-112-R-2052-2082-0,841462,PEPPERONI SAND. SLICED,8,2#,16,82.8,3.39,0,green,http://yourURL?LOCATION=
A10-112-R-2052-2082-84,699667,PEPPERONI CHEESE & CRACKERS,6,3.9 OZ,23.4,473,10.8,0,green,http://yourURL?LOCATION=
A10-113-L-2232-2094-0,923937,HAM POLISH 98%,3,11#,35,42.8,2.25,0,green,http://yourURL?LOCATION=
A10-113-L-2232-2094-84,201002,DRESSING REF RANCH DELUXE,4,GALLON,31.05,17.4,36.74,0,green,http://yourURL?LOCATION=
A10-117-R-2052-2142-0,582912,TURKEY BREAST MAPLE HONEY,2,6-7#,12.8,43,3.04,1,red,http://yourURL?LOCATION=
A10-117-R-2052-2142-84,126000,SWISS 4 X 4 LOT,2,8# AVG,16,293.4,2.49,0,green,http://yourURL?LOCATION=
A10-118-L-2232-2154-0,505514,SHIPPER BAR CHIP GARLIC,36,7 OZ,26.6,0,64.08,0,green,http://yourURL?LOCATION=
A10-118-L-2232-2154-84,514793,FILLING SPUN GOLD LEMON,1,38#,38,12,22.6,2,red,http://yourURL?LOCATION=
A10-121-R-2052-2190-0,892146,HAM DINNER BNLS WHOLE,2,9#,16,4,2.1,0,green,http://yourURL?LOCATION=
A10-121-R-2052-2190-84,294005,TURKEY BREAST SMOKIN CHIPOTLE,3,4.5#,13.5,41,3.63,1,red,http://yourURL?LOCATION=
A10-122-L-2232-2214-0,667500,BAGS WHITE KRAFT 6#,500,6X4X11,11,25.4,10.18,0,green,http://yourURL?LOCATION=
A10-122-L-2232-2214-84,719183,PIZZA SAUCE W/OIL & SPICES,6,#10 CAN,45.2,19.6,22.28,0,green,http://yourURL?LOCATION=
A10-125-R-2052-2250-0,208000,ROAST BEEF TOP ROUND,2,7.5#,15,43.4,4.28,0,green,http://yourURL?LOCATION=
A10-125-R-2052-2250-84,157500,ROAST BEEF LONDON BROIL,2,7#,13.5,120.6,5.88,0,green,http://yourURL?LOCATION=
A10-126-L-2232-2274-0,840216,AMERICAN RIBBON SL 120 F/S,6,5#,30,0.5,2.059,0,green,http://yourURL?LOCATION=
A10-126-L-2232-2274-84,934556,HAM COUNTRY,2,14-16#,30,0,2.58,0,green,http://yourURL?LOCATION=
A10-129-R-2052-2310-0,237541,BACON THICK SLICED,24,16 OZ,24,19,3.99,0,green,http://yourURL?LOCATION=
A10-129-R-2052-2310-84,226800,HAM OLD FASH SMOKEHOUSE,2,10#,20,308.2,3.4,0,green,http://yourURL?LOCATION=
A10-12-L-2232-678-0,672017,ICING GREEN N GLOSSY,1,23#,23,0,26.89,0,green,http://yourURL?LOCATION=
A10-130-L-2232-2322-0,196733,ALMONDS ROASTED SEA SALT,1,25#,25,3.4,80.69,0,green,http://yourURL?LOCATION=
A10-130-L-2232-2322-84,646800,PINEAPPLE TIDBITS IN JUICE,6,#10 CAN,40.5,22.2,35.67,0,green,http://yourURL?LOCATION=
A10-134-R-2052-2370-0,615143,COFFEE WOODWARD AVE BLEND,6,8 OZ,3,43.8,22.8,0,green,http://yourURL?LOCATION=
A10-134-R-2052-2370-84,240400,TURKEY BREAST GOURMET LITE,2,7#,14,90.4,5.1,0,green,http://yourURL?LOCATION=
A10-135-L-2232-2382-0,326902,HAM ITALIAN STYLE HOT,2,5#,10,16.6,3.6,0,green,http://yourURL?LOCATION=
A10-135-L-2232-2382-84,835650,SESAME SEED TOASTED,1,50#,50,2,58.5,2,red,http://yourURL?LOCATION=
A10-138-R-2052-2418-0,762586,TURKEY BREAST JP NATURAL,2,8#,16,43.6,3.55,0,green,http://yourURL?LOCATION=
A10-138-R-2052-2418-84,265745,TURKEY BREAST LOW SODIUM,2,7.5#,15,108.2,3.63,0,green,http://yourURL?LOCATION=
A10-140-L-2232-2442-0,829233,TURKEY BREAST BROWNED DLX,2,9#,18.2,21.2,2.39,0,green,http://yourURL?LOCATION=
A10-140-L-2232-2442-84,582929,TURKEY BREAST GOLDEN BROWNED,2,8-10#,16.9,379.2,2.54,0,green,http://yourURL?LOCATION=
A10-143-R-2052-2478-0,362286,POTATOES MASHED HOMESTYLE,6,24 OZ,9,44.2,10.34,0,green,http://yourURL?LOCATION=
A10-143-R-2052-2478-84,214000,SALAMI HARD HICKORY,6,6#,36,187.6,3.28,0,green,http://yourURL?LOCATION=
A10-145-L-2232-2502-0,674500,T-SACK-THANK YOU LOW-D,1000,12X7X22,13,49.6,25.37,1,red,http://yourURL?LOCATION=
A10-145-L-2232-2502-84,557871,PEANUT BRITTLE,1,20#,20,32.6,29.55,1,red,http://yourURL?LOCATION=
A10-148-R-2052-2538-0,139100,TURKEY BREAST HOMESTYLE,2,8#,16,59.6,5.1,0,green,http://yourURL?LOCATION=
A10-148-R-2052-2538-84,226700,TURKEY BREAST OVEN ROASTED,2,8#,16,162.8,3.7,0,green,http://yourURL?LOCATION=
A10-149-L-2232-2550-0,359052,KEFIR DRINK LF MANGO,6,32 OZ,12,44.4,13.4,0,green,http://yourURL?LOCATION=
A10-149-L-2232-2550-84,935207,CHICKEN BREAST CITRUS LTO,3,5#,15,62.6,3.45,0,green,http://yourURL?LOCATION=
A10-14-R-2052-714-0,830024,BAG 8LB WHITE BRUSTER,4,500 CT,47,1.2,110.56,0,green,http://yourURL?LOCATION=
A10-14-R-2052-714-84,797903,PINEAPPLE TIDBITS IN LT SYRUP,6,81 OZ,34,2.8,29.88,0,green,http://yourURL?LOCATION=
A10-153-R-2052-2598-0,327602,HUMMUS W/PRETZEL CLASSIC,12,4.56 OZ,4.28,190.4,13.44,0,green,http://yourURL?LOCATION=
A10-153-R-2052-2598-84,643295,MAYONNAISE PACKETS,500,12 GRAM,14.75,9.8,43.91,0,green,http://yourURL?LOCATION=
A10-154-L-2232-2610-0,895963,SACKS-HD BUSCHS SUMMER,300,1/7-70#,38,192.8,27.86,0,green,http://yourURL?LOCATION=
A10-154-L-2232-2610-84,92900,CHICKEN BREAST BBQ,2,4#,8,75.6,3.63,0,green,http://yourURL?LOCATION=
A10-157-R-2052-2646-0,559248,PORK ROAST DELI,2,3.5-4#,7.32,25.6,3.79,0,green,http://yourURL?LOCATION=
A10-157-R-2052-2646-84,217949,YOGURT GREEK STRAWBERRY 0%,12,5.3 OZ,3.975,453.4,11.64,0,green,http://yourURL?LOCATION=
A10-159-L-2232-2670-0,301662,DIP FRENCH ONION,12,8 OZ,6,45.2,7.83,0,green,http://yourURL?LOCATION=
A10-159-L-2232-2670-84,358344,SOUR CREAM SQUEEZE,12,15 OZ,11.25,300,14.84,0,green,http://yourURL?LOCATION=
A10-15-L-2232-726-84,840566,TOPPING CARAMEL,6,96 OZ,50.86,12.4,47.23,0,green,http://yourURL?LOCATION=
A10-162-R-2052-2706-0,362337,BEEF STICKS HICKORY PROSP CH,3,2.5#,7.5,45.8,41.97,0,green,http://yourURL?LOCATION=
A10-162-R-2052-2706-84,240300,TURKEY BREAST HONEY #61802,2,7#,14,30.2,5.1,0,green,http://yourURL?LOCATION=
A10-164-L-2232-2730-0,272723,TORTILLAS CORN FAMILY PACK,12,32 OZ,24,42.4,20.64,0,green,http://yourURL?LOCATION=
A10-164-L-2232-2730-84,453538,PEANUTS HONEY ROASTED,1,25#,25,18.8,32,0,green,http://yourURL?LOCATION=
A10-167-R-2052-2766-0,948479,DIP ARTICHOKE & ASIAGO,4,4.4#,17.6,19,2.84,0,green,http://yourURL?LOCATION=
A10-167-R-2052-2766-84,240500,TURKEY BREAST BLK FORST SMKD,2,9.5#,19,79.4,5.1,1,red,http://yourURL?LOCATION=
A10-172-R-2052-2826-0,606031,HAM BLACK FOREST,2,9.5#,19,56.8,3.47,0,green,http://yourURL?LOCATION=
A10-172-R-2052-2826-84,893994,CHEESE COLBY JACK SHREDDED,6,2#,12,96.2,26.46,0,green,http://yourURL?LOCATION=
