LOCATION,ITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED,LINK_
A10-100-R-2052-1914-0,\s835099,AMERICAN YELLOW 120CT,4,5#,20,13.6,43.14,0,green,http://yourURL?LOCATION=
A10-100-R-2052-1914-84,\s645709,TRAY-FOOD RED PLAID 1#,1000,1#,12.5,30.2,15.73,1,red,http://yourURL?LOCATION=
A10-101-L-2232-1926-0,\s425186,LEMONADE ICE TEA HALF/HALF,8,59 OZ,29.5,41.4,12.88,0,green,http://yourURL?LOCATION=
A10-101-L-2232-1926-84,\s621606,MUSTARD YELLOW 104 OZ JUG,6,104 OZ,42,6.2,23.07,2,red,http://yourURL?LOCATION=
A10-104-R-2052-1962-0,\s606600,CRACKER OYSTER INDIV PACK,150,.5 OZ,3,42.6,13.31,2,red,http://yourURL?LOCATION=
A10-104-R-2052-1962-84,\s171002,SALAMI HARD,6,6.5#,39,445,3.24,0,green,http://yourURL?LOCATION=
A10-105-L-2232-1986-0,\s432496,PEANUT CLUSTER MAPLE CREAM,1,23#,23,9.6,55.7,0,green,http://yourURL?LOCATION=
A10-105-L-2232-1986-84,\s417009,GRAPEFRUIT JUICE PURE SQUEEZE,6,59 OZ,25.65,27.6,19.61,0,green,http://yourURL?LOCATION=
A10-108-R-2052-2022-0,\s370011,COTTAGE CHEESE SMALL CURD,12,8 OZ,6,42.6,10.6718,0,green,http://yourURL?LOCATION=
A10-108-R-2052-2022-84,\s624085,POTATO SALAD SINGLE SERVE CUP,6,6 OZ,4.5,689.8,5.16,0,green,http://yourURL?LOCATION=
A10-109-L-2232-2046-0,\s514503,T-SACK-THANK YOU HI-D,2000,12X7X21,28.5,27,33.2,0,green,http://yourURL?LOCATION=
A10-109-L-2232-2046-84,\s189700,CREAM CHEESE PLAIN,10,3#,30,115.2,1.8995,0,green,http://yourURL?LOCATION=
A10-112-R-2052-2082-0,\s841462,PEPPERONI SAND. SLICED,8,2#,16,82.8,3.39,0,green,http://yourURL?LOCATION=
A10-112-R-2052-2082-84,\s699667,PEPPERONI CHEESE & CRACKERS,6,3.9 OZ,23.4,473,10.8,0,green,http://yourURL?LOCATION=
A10-113-L-2232-2094-0,\s923937,HAM POLISH 98%,3,11#,35,42.8,2.25,0,green,http://yourURL?LOCATION=
A10-113-L-2232-2094-84,\s201002,DRESSING REF RANCH DELUXE,4,GALLON,31.05,17.4,36.74,0,green,http://yourURL?LOCATION=
A10-117-R-2052-2142-0,\s582912,TURKEY BREAST MAPLE HONEY,2,6-7#,12.8,43,3.04,1,red,http://yourURL?LOCATION=
