LOCATION,WIDTH,DEPTH,HEIGHT,X,Y,Z,AISLE,CENTERAXIS,AISLESIDE,BAY,WAREHOUSE,AREA,LEVEL
A10-100-R-2052-1914-0,48,48,82,2052,1914,0,A10,X,R,100,WARREN,A,1
A10-100-R-2052-1914-84,48,48,30,2052,1914,84,A10,X,R,100,WARREN,A,2
A10-101-L-2232-1926-0,48,48,82,2232,1926,0,A10,X,L,101,WARREN,A,1
A10-101-L-2232-1926-84,48,48,30,2232,1926,84,A10,X,L,101,WARREN,A,2
A10-104-R-2052-1962-0,48,48,82,2052,1962,0,A10,X,R,104,WARREN,A,1
A10-104-R-2052-1962-84,48,48,30,2052,1962,84,A10,X,R,104,WARREN,A,2
A10-105-L-2232-1986-0,48,48,82,2232,1986,0,A10,X,L,105,WARREN,A,1
A10-105-L-2232-1986-84,48,48,30,2232,1986,84,A10,X,L,105,WARREN,A,2
A10-108-R-2052-2022-0,48,48,82,2052,2022,0,A10,X,R,108,WARREN,A,1
A10-108-R-2052-2022-84,48,48,30,2052,2022,84,A10,X,R,108,WARREN,A,2
A10-109-L-2232-2046-0,48,48,82,2232,2046,0,A10,X,L,109,WARREN,A,1
A10-109-L-2232-2046-84,48,48,30,2232,2046,84,A10,X,L,109,WARREN,A,2
A10-112-R-2052-2082-0,48,48,82,2052,2082,0,A10,X,R,112,WARREN,A,1
A10-112-R-2052-2082-84,48,48,30,2052,2082,84,A10,X,R,112,WARREN,A,2
A10-113-L-2232-2094-0,48,48,82,2232,2094,0,A10,X,L,113,WARREN,A,1
A10-113-L-2232-2094-84,48,48,30,2232,2094,84,A10,X,L,113,WARREN,A,2
A10-117-R-2052-2142-0,48,48,82,2052,2142,0,A10,X,R,117,WARREN,A,1
A10-117-R-2052-2142-84,48,48,30,2052,2142,84,A10,X,R,117,WARREN,A,2
A10-118-L-2232-2154-0,48,48,82,2232,2154,0,A10,X,L,118,WARREN,A,1
A10-118-L-2232-2154-84,48,48,30,2232,2154,84,A10,X,L,118,WARREN,A,2
A10-121-R-2052-2190-0,48,48,82,2052,2190,0,A10,X,R,121,WARREN,A,1
A10-121-R-2052-2190-84,48,48,30,2052,2190,84,A10,X,R,121,WARREN,A,2
A10-122-L-2232-2214-0,48,48,82,2232,2214,0,A10,X,L,122,WARREN,A,1
A10-122-L-2232-2214-84,48,48,30,2232,2214,84,A10,X,L,122,WARREN,A,2
A10-125-R-2052-2250-0,48,48,82,2052,2250,0,A10,X,R,125,WARREN,A,1
